Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;SearchTextSearch;ReplaceTextSearch;TextSize;Mean;Error;StdDev;Median;Gen0;Gen1;Gen2;Allocated
StringReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace1_1;text10;7.365 ns;0.0148 ns;0.0124 ns;7.367 ns;0.0000;0.0000;0.0000;0 B
RegexrReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace1_1;text10;58.241 ns;0.4458 ns;0.4170 ns;58.036 ns;0.0000;0.0000;0.0000;0 B
StringReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace1_1;text50;7.375 ns;0.0104 ns;0.0092 ns;7.378 ns;0.0000;0.0000;0.0000;0 B
RegexrReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace1_1;text50;58.113 ns;0.1124 ns;0.0939 ns;58.125 ns;0.0000;0.0000;0.0000;0 B
StringReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace1_1;text100;7.356 ns;0.0191 ns;0.0159 ns;7.362 ns;0.0000;0.0000;0.0000;0 B
RegexrReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace1_1;text100;61.134 ns;0.0693 ns;0.0541 ns;61.124 ns;0.0000;0.0000;0.0000;0 B
StringReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace1_1;text500;7.392 ns;0.0127 ns;0.0113 ns;7.392 ns;0.0000;0.0000;0.0000;0 B
RegexrReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace1_1;text500;417.552 ns;1.6036 ns;1.4216 ns;416.951 ns;0.2174;0.0000;0.0000;1024 B
StringReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace1_1;text1_000;7.787 ns;0.0195 ns;0.0183 ns;7.790 ns;0.0000;0.0000;0.0000;0 B
RegexrReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace1_1;text1_000;579.987 ns;2.3650 ns;2.2122 ns;580.292 ns;0.4301;0.0000;0.0000;2024 B
StringReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace1_1;text5_000;7.558 ns;0.0820 ns;0.0767 ns;7.570 ns;0.0000;0.0000;0.0000;0 B
RegexrReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace1_1;text5_000;"1,559.378 ns";17.1094 ns;16.8037 ns;"1,557.935 ns";2.1267;0.0000;0.0000;10024 B
StringReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace1_1;text10_000;7.373 ns;0.0414 ns;0.0387 ns;7.351 ns;0.0000;0.0000;0.0000;0 B
RegexrReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace1_1;text10_000;"2,624.515 ns";20.2879 ns;18.9773 ns;"2,615.114 ns";4.2343;0.0000;0.0000;20024 B
StringReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace1_1;text50_000;7.591 ns;0.0196 ns;0.0183 ns;7.590 ns;0.0000;0.0000;0.0000;0 B
RegexrReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace1_1;text50_000;"40,057.313 ns";786.2952 ns;"1,176.8897 ns";"39,952.548 ns";31.1890;31.1890;31.1890;100045 B
StringReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace2_1;text10;10.157 ns;0.0235 ns;0.0184 ns;10.161 ns;0.0000;0.0000;0.0000;0 B
RegexrReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace2_1;text10;60.148 ns;0.8103 ns;0.7579 ns;60.496 ns;0.0000;0.0000;0.0000;0 B
StringReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace2_1;text50;14.211 ns;0.0550 ns;0.0514 ns;14.224 ns;0.0000;0.0000;0.0000;0 B
RegexrReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace2_1;text50;61.264 ns;0.3857 ns;0.3608 ns;61.378 ns;0.0000;0.0000;0.0000;0 B
StringReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace2_1;text100;16.306 ns;0.0562 ns;0.0525 ns;16.309 ns;0.0000;0.0000;0.0000;0 B
RegexrReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace2_1;text100;61.793 ns;0.3883 ns;0.3442 ns;61.685 ns;0.0000;0.0000;0.0000;0 B
StringReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace2_1;text500;141.431 ns;1.6420 ns;1.5360 ns;141.953 ns;0.2193;0.0000;0.0000;1032 B
RegexrReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace2_1;text500;431.458 ns;6.2165 ns;5.8149 ns;429.440 ns;0.2193;0.0000;0.0000;1032 B
StringReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace2_1;text1_000;255.979 ns;2.2966 ns;2.0358 ns;255.994 ns;0.4315;0.0000;0.0000;2032 B
RegexrReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace2_1;text1_000;637.507 ns;4.4110 ns;3.9103 ns;637.637 ns;0.4311;0.0000;0.0000;2032 B
StringReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace2_1;text5_000;900.763 ns;15.8852 ns;14.8590 ns;899.706 ns;2.1315;0.0000;0.0000;10040 B
RegexrReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace2_1;text5_000;"1,604.489 ns";21.2036 ns;19.8339 ns;"1,605.370 ns";2.1305;0.0000;0.0000;10040 B
StringReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace2_1;text10_000;"2,005.523 ns";28.5300 ns;26.6870 ns;"2,010.290 ns";4.2343;0.0000;0.0000;20040 B
RegexrReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace2_1;text10_000;"2,931.112 ns";54.6725 ns;51.1407 ns;"2,937.632 ns";4.2343;0.0000;0.0000;20040 B
StringReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace2_1;text50_000;"33,963.962 ns";441.9349 ns;413.3862 ns;"34,006.824 ns";31.1890;31.1890;31.1890;100123 B
RegexrReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace2_1;text50_000;"36,996.029 ns";166.7559 ns;155.9836 ns;"37,029.437 ns";31.1890;31.1890;31.1890;100133 B
StringReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace3_1;text10;10.104 ns;0.0725 ns;0.0642 ns;10.094 ns;0.0000;0.0000;0.0000;0 B
RegexrReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace3_1;text10;62.365 ns;0.2004 ns;0.1875 ns;62.392 ns;0.0000;0.0000;0.0000;0 B
StringReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace3_1;text50;14.258 ns;0.0706 ns;0.0626 ns;14.237 ns;0.0000;0.0000;0.0000;0 B
RegexrReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace3_1;text50;61.505 ns;0.4179 ns;0.3909 ns;61.454 ns;0.0000;0.0000;0.0000;0 B
StringReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace3_1;text100;18.106 ns;0.0613 ns;0.0544 ns;18.124 ns;0.0000;0.0000;0.0000;0 B
RegexrReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace3_1;text100;61.289 ns;0.2112 ns;0.1872 ns;61.288 ns;0.0000;0.0000;0.0000;0 B
StringReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace3_1;text500;143.374 ns;1.4209 ns;1.1865 ns;143.592 ns;0.2193;0.0000;0.0000;1032 B
RegexrReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace3_1;text500;437.964 ns;5.8031 ns;5.4283 ns;437.114 ns;0.2193;0.0000;0.0000;1032 B
StringReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace3_1;text1_000;244.976 ns;1.2360 ns;1.0957 ns;245.081 ns;0.4334;0.0000;0.0000;2040 B
RegexrReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace3_1;text1_000;609.568 ns;6.2880 ns;5.5741 ns;609.528 ns;0.4330;0.0000;0.0000;2040 B
StringReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace3_1;text5_000;911.052 ns;18.0247 ns;16.8603 ns;915.014 ns;2.1305;0.0000;0.0000;10048 B
RegexrReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace3_1;text5_000;"1,565.423 ns";30.8545 ns;33.0140 ns;"1,556.359 ns";2.1305;0.0000;0.0000;10048 B
StringReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace3_1;text10_000;"2,146.879 ns";26.6005 ns;24.8821 ns;"2,142.124 ns";4.2534;0.0000;0.0000;20056 B
RegexrReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace3_1;text10_000;"2,995.018 ns";40.6340 ns;38.0090 ns;"2,974.913 ns";4.2534;0.0000;0.0000;20056 B
StringReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace3_1;text50_000;"33,358.550 ns";263.4142 ns;246.3978 ns;"33,368.359 ns";31.1890;31.1890;31.1890;100203 B
RegexrReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace3_1;text50_000;"36,459.610 ns";129.3613 ns;108.0225 ns;"36,447.174 ns";31.1890;31.1890;31.1890;100213 B
StringReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace5_1;text10;10.501 ns;0.0772 ns;0.0722 ns;10.501 ns;0.0000;0.0000;0.0000;0 B
RegexrReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace5_1;text10;59.907 ns;0.2619 ns;0.2321 ns;59.884 ns;0.0000;0.0000;0.0000;0 B
StringReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace5_1;text50;15.402 ns;0.1092 ns;0.1021 ns;15.406 ns;0.0000;0.0000;0.0000;0 B
RegexrReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace5_1;text50;62.676 ns;0.2290 ns;0.2030 ns;62.707 ns;0.0000;0.0000;0.0000;0 B
StringReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace5_1;text100;16.120 ns;0.0940 ns;0.0879 ns;16.112 ns;0.0000;0.0000;0.0000;0 B
RegexrReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace5_1;text100;63.117 ns;0.2446 ns;0.2168 ns;63.199 ns;0.0000;0.0000;0.0000;0 B
StringReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace5_1;text500;144.676 ns;1.7972 ns;1.5932 ns;144.621 ns;0.2210;0.0000;0.0000;1040 B
RegexrReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace5_1;text500;443.309 ns;4.9015 ns;4.5849 ns;442.057 ns;0.2208;0.0000;0.0000;1040 B
StringReplace;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;replace1_1;replace5_1;text1_000;248.012 ns;4.8907 ns;6.0063 ns;250.683 ns;0.4349;0.0000;0.0000;2048 B
